Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content TypeAbstract,Title-fixec,Authors-fixed
Visually Guided Cooperative Robot Actions Based on Information Quality,Autonomous Robots,,19,1,10.1007/s10514-005-6013-2,Vivek A. SujanSteven Dubowsky,2005,http://link.springer.com/article/10.1007/s10514-005-6013-2,Article,"In field environments it is not usually possible to provide robots in advance with valid geometric models of its environment and task element locations. The robot or robot teams need to create and use these models to locate critical task elements by performing appropriate sensor based actions. This paper presents a multi-agent algorithm for a manipulator guidance task based on cooperative visual feedback in an unknown environment. First, an information-based iterative algorithm to intelligently plan the robot's visual exploration strategy is used to enable it to efficiently build 3D models of its environment and task elements. The algorithm uses the measured scene information to find the next camera position based on expected new information content of that pose. This is achieved by utilizing a metric derived from Shannon's information theory to determine optimal sensing poses for the agent(s) mapping a highly unstructured environment. Second, after an appropriate environment model has been built, the quality of the information content in the model is used to determine the constraint-based optimum view for task execution. The algorithm is applicable for both an individual agent as well as multiple cooperating agents. Simulation and experimental demonstrations on a cooperative robot platform performing a two component insertion/mating task in the field show the effectiveness of this algorithm.","Vivek A. Sujan, Steven Dubowsky",Visually Guided Cooperative Robot Actions Based on Information Quality
"Toward simple control for complex, autonomous robotic applications: combining discrete and rhythmic motor primitives",Autonomous Robots,,31,2 - 3,10.1007/s10514-011-9235-2,Sarah DegallierLudovic RighettiSebastien GayAuke Ijspeert,2011,http://link.springer.com/article/10.1007/s10514-011-9235-2,Article,"Vertebrates are able to quickly adapt to new environments in a very robust, seemingly effortless way. To explain both this adaptivity and robustness, a very promising perspective in neurosciences is the modular approach to movement generation: Movements results from combinations of a finite set of stable motor primitives organized at the spinal level. In this article we apply this concept of modular generation of movements to the control of robots with a high number of degrees of freedom, an issue that is challenging notably because planning complex, multidimensional trajectories in time-varying environments is a laborious and costly process. We thus propose to decrease the complexity of the planning phase through the use of a combination of discrete and rhythmic motor primitives, leading to the decoupling of the planning phase (i.e. the choice of behavior) and the actual trajectory generation. Such implementation eases the control of, and the switch between, different behaviors by reducing the dimensionality of the high-level commands. Moreover, since the motor primitives are generated by dynamical systems, the trajectories can be smoothly modulated, either by high-level commands to change the current behavior or by sensory feedback information to adapt to environmental constraints. In order to show the generality of our approach, we apply the framework to interactive drumming and infant crawling in a humanoid robot. These experiments illustrate the simplicity of the control architecture in terms of planning, the integration of different types of feedback (vision and contact) and the capacity of autonomously switching between different behaviors (crawling and simple reaching).","Sarah Degallier, Ludovic Righetti, Sebastien Gay, Auke Ijspeert","Toward simple control for complex, autonomous robotic applications: combining discrete and rhythmic motor primitives"
Learning code regular and code linear languages,Grammatical Interference: Learning Syntax from Sentences,,,,10.1007/BFb0033356,J. D. EmeraldK. G. SubramanianD. G. Thomas,1996,http://link.springer.com/chapter/10.1007/BFb0033356,Chapter,"In this paper, a subclass of regular languages, called code regular languages is defined. Algorithms for learning these languages are presented in the frame work of identification in the limit. Learning of analogous subclass of linear languages is also examined.","J. D. Emerald, K. G. Subramanian, D. G. Thomas",
Phenomenological Simulators of Critical Infrastructures,Managing the Complexity of Critical Infrastructures,,,,10.1007/978-3-319-51043-9_5,Alberto TofaniGregorio D AgostinoJosé Mart ,2016,http://link.springer.com/chapter/10.1007/978-3-319-51043-9_5,Chapter,"The objective of this chapter is to introduce and discuss the main phenomenological approaches that have been used within the CI M&S area. Phenomenological models are used to analyse the organizational phenomena of the society considering its complexity (finance, mobility, health) and the interactions among its different components. Within CI MA&S, different modelling approaches have been proposed and used as, for example, physical simulators (e.g. power flow simulators for electrical networks). Physical simulators are used to predict the behaviour of the physical system (the technological network) under different conditions. As an example, electrical engineers use different kind of simulators during planning and managing of network activities for different purposes: (1) power flow simulators for the evaluation of electrical network configuration changes (that can be both deliberate changes or results from of the effects of accidents and/or attacks) and contingency analysis, (2) real time simulators for the design of protection devices and new controllers. For the telecommunication domain one mat resort to  network traffic simulators as for example ns2/ns3 codes that allow the simulation of telecommunication networks (wired/wireless) at packet switching level and evaluate its performances. Single domains simulators can be federated to analyse the interactions among different domains. In contrast, phenomenological simulators use more abstract data and models for the interaction among the different components of the system. The chapter will describe the main characteristic of some of the main simulation approaches resulting from the ENEA and UBC efforts in the CIP and Complexity Science field.","Alberto Tofani, Gregorio D Agostino, José Mart ",
Lernen und Wissensakquisition,Künstliche Intelligenz,,,,10.1007/978-3-642-70283-9_6,Christopher HabelClaus-Rainer Rollinger,1985,http://link.springer.com/chapter/10.1007/978-3-642-70283-9_6,Chapter,"Das Gebiet Machine Learning (ML), im Deutschen häufig als Maschinelles Lernen bezeichnet, ist eine Teildisziplin der Künstlichen Intelligenz, die sich in letzter Zeit in heftiger Entwicklung befindet. Diese starke Entwicklung zeigt sich sowohl in einer gestiegenen Anzahl von Veröffentlichungen als auch daran, daß spezielle Tagungen zu diesem Thema in steigendem Maße abgehalten werden /1/. Dieses gesteigerte Interesse am Gebiet des Maschinellen Lernes und der Wissensaquisition /2/ basiert insbesondere auf Anregungen und Anforderungen aus der Praxis, da sich in den letzten Jahren (vor allem auf dem Gebiet der Expertensysteme) herausgestellt hat, daß neben den Problemen, die noch immer in der Verarbeitung großer Wissensbestände bestehen, das Hauptproblem (Feigenbaum 1980) darin liegt, überhaupt erst das Wissen eines Systems über einen Anwendungsbereich aufzubauen. Daher erscheint es notwendig zu sein, die Prozesse der Modellbildung bei der Entwicklung von Expertensystemen und anderen wissensbasierten Systemen durch ""lernende Systeme"" der Künstlichen Intelligenz zu unterstützen. Somit ist ein Ziel des Gebietes ""Maschinelles Lernen und Wissensaquisition"" schon genannt, nämlich beim Aufbau intelligenter Systeme zu helfen.","Christopher Habel, Claus-Rainer Rollinger",
Hybrid Evolution of Heterogeneous Neural Networks,Artificial Neural Networks - ICANN 2008,,,,10.1007/978-3-540-87536-9_44,Zden k BukMiroslav  norek,2008,http://link.springer.com/chapter/10.1007/978-3-540-87536-9_44,Chapter,"In this paper we are describing experiments and results of applications of the continual evolution algorithm to construction and optimization of recurrent neural networks with heterogeneous units. Our algorithm is a hybrid genetic algorithm with sequential individuals replacement, varibale population size and age-based probability control functions. Short introduction to main idea of the algorithm is given. We describe some new features implemented into the algorithm, the encoding of individuals, crossover, and mutation operators. The behavior of population during an evolutionary process is studied on atificial benchmark data sets. Results of the experiments confirm the theoretical properties of the algorithm.","Zden k Buk, Miroslav  norek",
"Digital governance, hotspot geoinformatics, and sustainable development: A Preface",Environmental and Ecological Statistics,,17,2,10.1007/s10651-010-0144-x,G. P. Patil,2010,http://link.springer.com/article/10.1007/s10651-010-0144-x,Article,,G. P. Patil,"Digital governance, hotspot geoinformatics, and sustainable development: A Preface"
Expression of copper-responsive genes in HepG2 cells,Molecular and Cellular Biochemistry,,279,1 - 2,10.1007/s11010-005-8286-0,Min Ok SongJonathan H. Freedman,2005,http://link.springer.com/article/10.1007/s11010-005-8286-0,Article,"The hypothesis that copper modulates the activity of intracellular signal transduction pathways to affect transcription, which ultimately disrupts normal development was investigated. Preliminary analysis of transcriptomes from HepG2 cells exposed to copper for 4 and 24 h identified 19 and 7 up-regulated genes (twofold; p   0.05), respectively. Among the up-regulated genes, several have been previously reported to be responsive to metals or oxidative stress. Differentially expressed genes were grouped by the functional categories based on gene ontology (GO). Significantly enriched GO categories (p < 0.01) included copper ion homeostasis, cadmium and copper ion binding, and heme oxygenase and oxidoreductase activities. Real-time RT-PCR confirmed the effect of copper on the levels of MT2A, HSPA1A, CYP1A1 and HMOX1 expression.","Min Ok Song, Jonathan H. Freedman",Expression of copper-responsive genes in HepG2 cells
"A Survey on LBS: System Architecture, Trends and Broad Research Areas",Databases in Networked Information Systems,,,,10.1007/978-3-642-25731-5_18,Shivendra TiwariSaroj KaushikPriti JagwaniSunita Tiwari,2011,http://link.springer.com/chapter/10.1007/978-3-642-25731-5_18,Chapter,"The Location Based Services (LBS) seem to be the next revolution on small computing handheld devices in terms of location aware advertising, security alerts, news updates, disaster management, geo-fencing, buddy-findings, gaming, criminal investigations, turn-by-turn navigation and so on. In today's scenario there is an explosion of technologies to communicate with mobile, connected devices and sensors. In this paper we are presenting a literature survey of LBS that includes the architecture of the LBS ecosystem, the key market players, and the latest trends in LBS development. Finally, the broad research areas such as location determination techniques, geo-sensor networks, and location based natural queries, location privacy and authorization, geo-social networks, LBS QoS, and Location Based Recommender Systems (LBRS) have been studied and presented briefly.","Shivendra Tiwari, Saroj Kaushik, Priti Jagwani, Sunita Tiwari",
"Principles of organization of polistinae (Hymenoptera, Vespidae) population",Entomological Review,,95,8,10.1134/S0013873815080102,L. Yu. Rusina,2015,http://link.springer.com/article/10.1134/S0013873815080102,Article,"The paper describes some invariant relations of the Polistinae population structure, including resistance to abiotic and biotic factors that occurs against the background of the hierarchy of biological systems and increasing autonomy of their functioning. A decrease in the dependence on the hostile environment is shown to be due to the activity of foundresses and workers adjusting to external rhythms, developing specialized responses to predators and parasites (predictable external noise of biotic nature), and creating new information. The population organization of Polistinae wasps is considered in the framework of Anokhin's theory of functional systems and systemogenesis. There are specific processes in the population that unite individual colonies and their reproduction; they are accompanied by the formation of an advanced feedback and functional systems. Systemic processes can be simultaneously regarded as ""adaptation"" (reflecting the organization of environmental elements) and as ""adaptiveness"" (reflecting the organization of the activity of intra-colony processes and the organization of reproduction). The organization of the colony activity and reproduction in functional systems reflects the future survival rather than the preceding phenomena and events. The behavior of individuals in a colony is determined not only by the effects of abiotic and biotic factors (via transformation of cues into behavioral programs), but also by previous adaptations (stored in the ""memory"" as images of still absent events). General progress, limited or partial progress, and narrow specialization in the organization of polistine colonies and populations are considered using the examples of morphofunctional, environmental, energy and information criteria. The emphasis on invariant relations makes it possible to more fully describe biological systems in terms of such general categories as isomorphism, homeostasis or self-organization, and also enables us to use more effectively the theory of general functional systems in studying social insects.",L. Yu. Rusina,"Principles of organization of polistinae (Hymenoptera, Vespidae) population"
"Approve, Release, and Prepare",Pro SQL Server 2012 BI Solutions,,,,10.1007/978-1-4302-3489-0_19,Randal RootCaryn Mason,2012,http://link.springer.com/chapter/10.1007/978-1-4302-3489-0_19,Chapter,"What happens when a software project ends? How many times have you heard it isn't over until the paperwork is done? How true that is. There is a lot to consider when completing a project, and how you wrap things up is one of the greatest factors in determining how much of a professional you and your team are.","Randal Root, Caryn Mason",
Improving Photovoltaic Applications Through the Paraconsistent Annotated Evidential Logic E ,Computational Science and Its Applications -- ICCSA 2016,,,,10.1007/978-3-319-42111-7_27, lvaro A. C. PradoMarcelo NogueiraJair Minoro AbeRicardo J. Machado,2016,http://link.springer.com/chapter/10.1007/978-3-319-42111-7_27,Chapter,"The contrast between large urban centers and other isolated locations where even the most basic resources are scarce, leads the development of self-sustainable solutions, a panorama in which the electrical power is an important demand to be supplied. Through Bibliographic and Experimental research, plus practical implementation and testing, it was possible to develop an improving solution which fits within the proposed needs. This paper aims to present a self-oriented photovoltaic system based upon the Paraconsistent Annotated Evidential Logic E , its construction and practical tests, where an average yield of 3.19 W was obtained against 2.44 W from a fixed panel, representing an increase of 31.56 % in the overall power."," lvaro A. C. Prado, Marcelo Nogueira, Jair Minoro Abe, Ricardo J. Machado",
Produktentstehungsprozess,Vieweg Handbuch Kraftfahrzeugtechnik,,,,10.1007/978-3-8348-8298-1_11,"Prof. Dr.-Ing., Dr.-Ing. E.h. Hans-Hermann BraessProf. Dr.-Ing. Ulrich Seiffert",2012,http://link.springer.com/chapter/10.1007/978-3-8348-8298-1_11,Chapter,"In ihrem Vorwort charakterisieren die Herausgeber die Produktentstehung sehr treffend als einen hochkomplexen Prozess, dessen Gestaltung und Optimierung immer größere Bedeutung gewinnt. Letztendlich muss dieser Prozess termingerecht zu einem Fahrzeug führen, das für die Zielkunden so attraktiv ist, dass sie es zu einem Preis erwerben wollen, der mit den Renditevorstellungen des Automobilunternehmens im Einklang steht und damit dessen Wettbewerbsfähigkeit sichert. Das Bild 11.1-1 umreißt einen Produktentstehungsprozess schematisch.","Hans-Hermann Braess, Ulrich Seiffert",
Produktentstehungsprozess,Vieweg Handbuch Kraftfahrzeugtechnik,,,,10.1007/978-3-658-01691-3_11,Hans-Hermann Braess Prof. Dr.-Ing. Dr.-Ing. E.h.Ulrich Widmann Dr.-Ing.Claus Ehlers Dr.-Ing.Thomas Breitling Prof. Dr.-Ing.Norbert Grawunder Dipl. -Ing.Volker Liskowsky Prof. Dr.-Ing.,2013,http://link.springer.com/chapter/10.1007/978-3-658-01691-3_11,Chapter,,"Hans-Hermann Braess, Ulrich Widmann, Claus Ehlers, Thomas Breitling, Norbert Grawunder, Volker Liskowsky",
Systematic interpretation of microarray data using experiment annotations,BMC Genomics,,7,1,10.1186/1471-2164-7-319,Kurt FellenbergChristian H BusoldOlaf WittAndrea BauerBoris BeckmannNicole C HauserMarcus FrohmeStefan WinterJürgen DipponJörg D Hoheisel,2006,http://link.springer.com/article/10.1186/1471-2164-7-319,Article,"Up to now, microarray data are mostly assessed in context with only one or few parameters characterizing the experimental conditions under study. More explicit experiment annotations, however, are highly useful for interpreting microarray data, when available in a statistically accessible format.","Kurt Fellenberg, Christian H Busold, Olaf Witt, Andrea Bauer, Boris Beckmann, Nicole C Hauser, Marcus Frohme, Stefan Winter, Jürgen Dippon, Jörg D Hoheisel",Systematic interpretation of microarray data using experiment annotations
Das Managementsystem zur Gestaltung im digitalen Zeitalter: Gestaltungstechniken,Einführung in die Wirtschaftsinformatik,,,,10.1007/978-3-662-53656-8_9,Claudia LemkeWalter BrennerKathrin Kirchner,2017,http://link.springer.com/chapter/10.1007/978-3-662-53656-8_9,Chapter,"Henry Mintzberg, ein führender amerikanischer Managementforscher, begründete seine erfolgreiche wissenschaftliche Laufbahn mit der Suche nach einer Antwort auf die eigentlich simple Frage: Wie gestaltet sich der Arbeitsalltag eines Managers? Herausgekommen ist ein weltweit anerkannter Forschungsansatz über die praktische Tätigkeit von Managern. Ganz allgemein betrachtet, sollte der Manager als nachdenkender Führer einer Organisation eine verantwortungsbewusste Grundhaltung einnehmen, die durch seinen spezifischen Führungsstil geprägt ist. Ein guter Manager ist demnach jene Persönlichkeit, die es schafft, die Menschen in seiner Organisation einzubinden, soziale Bindungen mit diesen aufzubauen, um einen größeren Gemeinschaftssinn im Unternehmen zu etablieren, der die Werte und die Kultur des Unternehmens im Einvernehmen mit dem Engagement eines jeden Mitarbeiters fördert.","Claudia Lemke, Walter Brenner, Kathrin Kirchner",
FPGA Time-Bounded Unclonable Authentication,Information Hiding,,,,10.1007/978-3-642-16435-4_1,Mehrdad MajzoobiAhmed ElnablyFarinaz Koushanfar,2010,http://link.springer.com/chapter/10.1007/978-3-642-16435-4_1,Chapter,"This paper introduces a novel technique for extracting the unique timing signatures of the FPGA configurable logic blocks in a digital form over the space of possible challenges. A new class of physical unclonable functions that enables inputs challenges such as timing, digital, and placement challenges can be built upon the delay signatures. We introduce a suite of new authentication protocols that take into account non-triviality of bitstream reverse-engineering in addition to the FPGA's unprecedented speed in responding to challenges. Our technique is secure against various attacks and robust to fluctuations in operational conditions. Proof of concept implementation of the signature extraction and evaluations of the proposed methods are demonstrated on Xilinx Virtex 5 FPGAs. Experimental results demonstrate practicality of the proposed techniques.","Mehrdad Majzoobi, Ahmed Elnably, Farinaz Koushanfar",
Small Worlds of Concepts and Other Principles of Semantic Search,Innovative Internet Community Systems,,,,10.1007/978-3-540-39884-4_2,Stefan BordagGerhard HeyerUwe Quasthoff,2003,http://link.springer.com/chapter/10.1007/978-3-540-39884-4_2,Chapter,A combination of the strengths of both classic information retrieval with the distributed approach of P2P networks can avoid both their weaknesses: The organisation of document collections relevant for special communities allows both high coverage and quick access. We present a theoretical framework in which the semantic structure between words can be deduced from a document collection. This structural knowledge can then be used to connect document collections to communities based on their content.,"Stefan Bordag, Gerhard Heyer, Uwe Quasthoff",
MRS-AACR Joint Conference on Metastasis 2010,Clinical & Experimental Metastasis,,28,2,10.1007/s10585-010-9361-9,,2011,http://link.springer.com/article/10.1007/s10585-010-9361-9,Article,,,MRS-AACR Joint Conference on Metastasis 2010
Literatur,Die virtuelle Vernetzung des internationalen Rechtsextremismus,,,,10.1007/978-3-86226-834-4_13,Ralf Wiederer,2007,http://link.springer.com/chapter/10.1007/978-3-86226-834-4_13,Chapter,,Ralf Wiederer,
Applications of Social Systems Modeling to Political Risk Management,Handbook on Decision Making,,,,10.1007/978-3-642-25755-1_17,Gnana K. BharathyBarry Silverman,2012,http://link.springer.com/chapter/10.1007/978-3-642-25755-1_17,Chapter,"Risk is inexplicably linked to complex inter-related structural and behavioral factors. Of these, human factors tend to be overarching and predominant. Any model that would assist with exploring the inter-relationships among structural and human factors would be immensely valuable to risk management. A social system model constructed with a valid set of software agent framework and complete with factions, institutions and other organizational descriptors, all based on best-of-breed social science theories, can act as the desired testbed to evaluate effects that may arise from alternative courses of action. Through our past case studies, we describe in this article, how social systems modeling and associated intelligent system tools could be applied to assess and manage political risk (and by extension other social systems based risks). We also enumerate the challenges of such a testbed and describes best-of-breed theories drawn from across the social sciences and synthesized and implemented in an agent-based framework. These predictions are examined in a real world cases (Bangladesh) where the agent models are subjected to a validity check and the political risks are estimated.","Gnana K. Bharathy, Barry Silverman",
Wissen von/in Organisationen als Problem,Instrumente der Wissensorganisation,,,,10.1007/978-3-322-89796-1_2,Heiko Roehl,2000,http://link.springer.com/chapter/10.1007/978-3-322-89796-1_2,Chapter,"Nahezu jedes dokumentierte Nachdenken über Organisation beginnt heute mit einem Fingerzeig auf die Unberechenbarkeiten der Umfelder. Seien hiermit Märkte, Technologien, Kunden oder ganze Gesellschaften bezeichnet, immer wieder wird die Formel vom Wandel als einzig Dauerhaftem zitiert. Wissen nimmt die Rolle eines Unsicherheiten reduzierenden Faktors ein, dem man offensichtlich zutraut, die Adaptionsfähigkeit an immer schwerer abschätzbare Lebensbedingungen von Organisationen zu sichern (Nonaka 1991a). Immer häufiger sind Erfolgsstories von Organisationen Geschichten effizienter Wissensbewirtschaftung.1 Wählen wir einen makrosoziologischen Betrachtungsausschnitt, so wird eine Reihe von sich verändernden gesellschaftlichen Parametern sichtbar, die hierzu beitragen.",Heiko Roehl,
Epidemic spreading in complex networks,Frontiers of Physics in China,,3,3,10.1007/s11467-008-0027-x,Jie ZhouZong-hua Liu,2008,http://link.springer.com/article/10.1007/s11467-008-0027-x,Article,"The study of epidemic spreading in complex networks is currently a hot topic and a large body of results have been achieved. In this paper, we briefly review our contributions to this field, which includes the underlying mechanism of rumor propagation, the epidemic spreading in community networks, the influence of varying topology, and the influence of mobility of agents. Also, some future directions are pointed out.","Jie Zhou, Zong-hua Liu",Epidemic spreading in complex networks
A Robotic Geospacial Surveyor,Towards Autonomous Robotic Systems,,,,10.1007/978-3-662-43645-5_35,Sam Wane,2014,http://link.springer.com/chapter/10.1007/978-3-662-43645-5_35,Chapter,This paper discusses the prototyping and testing of a mobile robot system programmed to follow a defined set of tram-lines calculated from a surrounding geo-fence which can be entered using mapping software or from a GPS device. The tracking method uses an on-board compass and a GPS sensor and an application to archaeological scanning is trialled. A solution to controlling the trajectory between latitude and longitude lines is formulated and implemented.,Sam Wane,
A Granular Description of Data: A Study in Evolvable Systems,Learning in Non-Stationary Environments,,,,10.1007/978-1-4419-8020-5_3,Witold PedryczJohn BerezowskiIqbal Jamal,2012,http://link.springer.com/chapter/10.1007/978-1-4419-8020-5_3,Chapter,"A human-centric way of data analysis, especially when dealing with data distributed in space and time, is concerned with data representation in an interpretable way where a perspective from which the data are analyzed is actively established by the user. Being motivated by this essential feature of data analysis, in the study we present a granular way of data analysis where the data and relationships therein are described through a collection of information granules defined in the spatial and temporal domain. We show that the data, expressed in a relational fashion, can be effectively described through a collection of Cartesian products of information granules forming a collection of semantically meaningful data descriptors. The design of the codebooks (vocabularies) of such information granules used to describe the data is guided through a process of information granulation and degranulation. This scheme comes with a certain performance index whose minimization becomes instrumental in the optimization of the codebooks. A description of logical relationships between elements of the codebooks used in the granular description of spatiotemporal data present in consecutive time frames is elaborated on as well.","Witold Pedrycz, John Berezowski, Iqbal Jamal",
Integrating Fuzzy Logic and GIS Analysis to Assess Sediment Characterization within a Confined Harbour,Computational Science and Its Applications   ICCSA 2009,,,,10.1007/978-3-642-02454-2_3,Nicoletta GazzeaAndrea TaramelliEmiliana ValentiniMaria Elena Piccione,2009,http://link.springer.com/chapter/10.1007/978-3-642-02454-2_3,Chapter,"Characterization of marine sediments in areas heavily impacted by human activities is a good example for situations where high complexity of physical and chemical processes can lead to an incomplete understanding of the configuration and distribution of pollutants material. These processes are often very complex for a direct prediction from a mathematical theory, making necessary that the process of identifying areas of contaminated sediment is mainly based on defined empirical models of concentrations distribution. In this paper an ontological fuzzy approach in GIS serves as a framework to define a specific scenario grounded on the abilities from an existing dataset. The final model is based on a large number of known concentrations (samples for characterization), which are considered sufficiently similar in terms of features. Therefore the model is working as guides (description of the model) for the identification of areas of same type.","Nicoletta Gazzea, Andrea Taramelli, Emiliana Valentini, Maria Elena Piccione",
Simulation,Recommendation Systems in Software Engineering,,,,10.1007/978-3-642-45135-5_12,Robert J. WalkerReid Holmes,2014,http://link.springer.com/chapter/10.1007/978-3-642-45135-5_12,Chapter,"Scientists and engineers have long used simulation as a technique for exploring and evaluating complex systems. Direct interaction with a real, complex system requires that the system be already constructed and operational, that people be trained in its use, and that its dangers already be known and mitigated. Simulation can avoid these issues, reducing costs, reducing risks, and allowing an imagined system to be studied before it is created. The explorations supported by simulation serve two purposes in the realm of evaluation: to determine whether and where undesired behavior will arise and to predict the outcomes of interactions with the real system. This chapter examines the use of simulation to evaluate recommendation systems in software engineering (RSSEs). We provide a general model of simulation for evaluation and review a small set of examples to examine how the model has been applied in practice. From these examples, we extract some general strengths and weaknesses of the use of simulation to evaluate RSSEs. We also explore prospects for making more extensive use of simulation in the future.","Robert J. Walker, Reid Holmes",
Ethics in Nanotechnology: What s Being Done? What s Missing?,Journal of Business Ethics,,109,4,10.1007/s10551-012-1432-1,Louis Y. Y. LuBruce J. Y. LinJohn S. LiuChang-Yung Yu,2012,http://link.springer.com/article/10.1007/s10551-012-1432-1,Article,"Nanotechnology shows great promise in a variety of applications with attractive economic and societal benefits. However, societal issues associated with nanotechnology are still a concern to the general public. While numerous technological advancements in nanotechnology have been achieved over the past decade, research into the broader societal issues of nanotechnology is still in its early phases. Based on the data from the Web of Science database, we applied the main path analysis, cluster analysis and text mining tools to explore the main research fronts and hierarchical structure of these societal issues. We found that the research studies fell into four categories: ""General Toxicity and EHS (Environment, Health and Safety),"" ""Medicine and Cytotoxicity,"" ""Assessment and Regulation,"" and ""Environment and Ecotoxicity."" These research studies have disclosed much information about the potential effect of nanotechnology on public health and the environment. Relatively speaking, the studies on the assessment, regulation, preventive solutions, and environmental protection are just emerging. This finding indicates that an abundance of effort should be conducted on these emerging themes to maximize the benefits of nanotechnology while minimizing its potential harm. The implications for various parties in this domain are also presented.","Louis Y. Y. Lu, Bruce J. Y. Lin, John S. Liu, Chang-Yung Yu",Ethics in Nanotechnology: What s Being Done? What s Missing?
Poster Session: Computer Assisted Radiology - 22nd International Congress and Exhibition,International Journal of Computer Assisted Radiology and Surgery,,3,1,10.1007/s11548-008-0206-9,,2008,http://link.springer.com/article/10.1007/s11548-008-0206-9,Article,,,Poster Session: Computer Assisted Radiology - 22nd International Congress and Exhibition
Empirische Analyse,Qualifizierungsstrategien für betriebswirtschaftliche Unternehmenssoftware,,,,10.1007/978-3-8349-8308-4_4,Matthias Mohr,2009,http://link.springer.com/chapter/10.1007/978-3-8349-8308-4_4,Chapter,"Bei der empirischen Analyse handelt sich neben der Entwicklung des Analysemodells um den zweiten Hauptteil dieser Arbeit. Das Kapitel beschreibt die aktuelle Praxis der Anwenderqualifizierung im Kontext Unternehmenssoftware. Es wird aufgezeigt, auf welche Weise das zuvor entwickelte Analysemodell in einen Fragebogen für IT- und Weiterbildungsverantwortliche umgesetzt wurde und welche Erkenntnisse aus dem Datenmaterial gewonnen werden können.",Matthias Mohr,
Intelligent Video Surveillance for Detecting Snow and Ice Coverage on Electrical Insulators of Power Transmission Lines,Computer Analysis of Images and Patterns,,,,10.1007/978-3-642-03767-2_143,Irene Y. H. GuUnai SistiagaSonja M. BerlijnAnders Fahlström,2009,http://link.springer.com/chapter/10.1007/978-3-642-03767-2_143,Chapter,"One of the problems for electrical power delivery through power lines in northern countries is when snow or ice accumulates on electrical insulators. This could lead to snow or ice-induced outages and voltage collapse, causing huge economic loss. This paper proposes a novel real-time intelligent surveillance and image analysis system for detecting and estimating the snow and ice coverage on electric insulators using images captured from an outdoor 420 kV power transmission line. In addition, the swing angle of insulators is estimated, as large swing angles due to wind cause short circuits. Hybrid techniques by combining histogram, edges, boundaries and cross-correlations are employed for handling a broad range of scenarios caused by changing weather and lighting conditions. Experiments have been conducted on the captured images over several month periods. Results have shown that the proposed system has provided valuable estimation results. For image pixels related to snows on the insulator, the current system has yielded an average detection rate of 93% for good quality images, and 67.6% for images containing large amount of poor quality ones, and the corresponding average false alarm ranges from 9% to 18.1%. Further improvement may be achieved by using video-based analysis and improved camera settings.","Irene Y. H. Gu, Unai Sistiaga, Sonja M. Berlijn, Anders Fahlström",
Heldenträume,BANKMAGAZIN   Jahrgang 2011,,,,10.1007/978-3-658-06719-9_7,Stefanie BurgmaierStefanie Hüthig,2015,http://link.springer.com/chapter/10.1007/978-3-658-06719-9_7,Chapter,"Helden brauchen Ziele, und erreichte Ziele sind der Maßstab erfolgreicher Manager. Ziele sollen motivieren, Ziele bauen Druck auf. Ziele sind Intro und das Finale von Erfolgsgeschichten. Einen Gewinn von 10 Mrd. Euro, mindestens, peilt Josef Ackermann für seine Deutsche Bank an. Ein wahrlich hoch gestecktes Ziel und schon hört man aus Insiderkreisen, dass die 10 Milliarden nur ein Milestone auf dem Marsch zur 12-Milliarden-Marke sind. Keine Frage: Mitarbeiter brauchen Orientierung und Marken bieten dies. Die Shareholder verlangen Wachstum, und solche Kraftausdrücke stimulieren die Fantasien der Investoren. Alles richtig gemacht in den ""grünen"" Zwillingstürmen der blauen Rittergilde aus Frankfurt? Grundsätzlich sind Ziele nicht verwerflich, solange sie nicht anderen schaden.","Stefanie Burgmaier, Stefanie Hüthig",
Adapting to Climate Change - An Open Data Platform for Cumulative Environmental Analysis and Management,Computational Science and Its Applications -- ICCSA 2015,,,,10.1007/978-3-319-21404-7_1,Donald CowanPaulo AlencarFred McGarryR. Mark Palmer,2015,http://link.springer.com/chapter/10.1007/978-3-319-21404-7_1,Chapter,"The frequency of extreme weather events has accelerated, an apparent outcome of progressive climate change. Excess water is a significant consequence of these events and is now the leading cause of insurance claims for infrastructure and property damage.","Donald Cowan, Paulo Alencar, Fred McGarry, R. Mark Palmer",
Integrated Information System for Verification of the Models of Convective Clouds,Computational Science and Its Applications -- ICCSA 2015,,,,10.1007/978-3-319-21410-8_25,Dmitry A. PetrovElena N. Stankova,2015,http://link.springer.com/chapter/10.1007/978-3-319-21410-8_25,Chapter,"The paper describes the information system that integrates heterogeneous meteorological information necessary for the verification of the numerical models of convective clouds. Data integration is realized on the base of consolidation technology. The first section of the article describes the implementation of the method of consolidation of meteorological data from heterogeneous sources (using PHP). The design and realization of the relational database (DB) (using MySQL) are described in the second section. The third section is concerned with the development of Web-based applications for verification of 1.5-D convective cloud model [1] using HTML 5, CSS 3 and JavaScript.","Dmitry A. Petrov, Elena N. Stankova",
